id,source,text
1,survey,"Support took 6 days to respond to my billing question. By the time they replied I had already disputed the charge with my bank."
2,survey,"Love the new dashboard redesign, much easier to find my invoices now. Great job on the UI refresh."
3,app_review,"App crashes every time I try to export a PDF on Android. Happens 100% of the time on my Pixel 7."
4,survey,"Pricing page is confusing. I genuinely could not tell which plan includes API access until I emailed sales."
5,app_review,"Five stars. Customer success rep walked me through onboarding personally, saved me hours."
6,survey,"We almost cancelled last month because nobody told us our trial was ending. Found out when we got locked out mid-demo to our own customer."
7,support_ticket,"Data export feature silently drops rows over 10,000. No warning, no error, just missing data. Found this in production."
8,survey,"The mobile app is fine but notifications are way too aggressive, I get pinged for things I don't care about."
9,app_review,"Switched from a competitor and the migration tool worked perfectly. Genuinely impressed."
10,support_ticket,"Asked twice about GDPR data deletion and got two different answers from two reps. Now I don't trust either answer."
11,survey,"Checkout flow has a bug where the discount code field disappears on Safari. Lost a sale because of it."
12,app_review,"Customer support chat bot is useless for anything beyond password resets, just routes me in circles."
13,survey,"Really appreciate that the team shipped the feature we requested within a month. Rare to see that kind of responsiveness."
14,support_ticket,"Billed twice in the same month for the same subscription. Refund process took three weeks and two follow-up emails."
15,app_review,"Solid product overall, the search function could be faster but everything else works as expected."
